names,indexes
AMAT,465440
APLT,1948132
APLT,1948285
ATR,1808105
ATR,1809946
APTV,490268
APTV,874216
WTR,489003
ARMK,875994
ARMK,876280
ADM,21026
ADM,465452
ARNC,465412
ARNC,874219
ARNC 1/3,477331
ARCT,1948133
ARCT,1948286
ARQT,2190379
ARNA,913537
ARNA,913828
ARCC,2190378
ARCC,2190516
ANET,489023
ANET,571125
AWI,874228
AWI,580972
ARW,891241
ARW,891404
ARWR,902517
ARWR,903837
AJG,485962
AJG,874187
ARVN,1948134
ARVN,1948287
ABG,874162
ABG,580344
ASH,571104
ASH,874221
P1NCY,20454
P1FIN,20462
P1IDU,20450
P1TEC,20466
P1TLS,20458
P2BSC,19511
P2NCY,19531
P2CYC,19530
P2FIN,19501
P2IDU,19518
P2TEC,19551
P2TLS,19543
P2UTI,19559
P1BSC,19510
P1CNS,19509
P1CYC,19528
P1ENE,20446
P1UTI,19558
AZPN,890869
AZPN,891409
AIZ,465444
AIZ,874186
ATRO,876118
ATRO,876281
ATRA,912630
ATRA,913829
ATKR,901711
ATKR,903838
ATRC,1948137
ATRC,1948290
ATRI,579136
ATRI,874222
AUDCAD,181410
AUDCHF,181411
AUDDKK,181418
AUDJPY,181408
AUDNOK,181417
AUDNZD,181409
AUDSEK,181419
AUDSGD,181416
AUDUSD,66699
BOLD,913700
BOLD,913836
DJAU,19496
FXA,19148
AN,465436
AN,874206
AZO,465429
AZO,874231
ADSK,465449
ADSK,874171
ALV,580861
ALV,874194
ADP,465451
ADP,874169
$DJUSAP,18981
AVLR,902577
AVLR,903841
AVB,465431
AVB,874224
AVNS,890883
AVNS,891407
AVTR,2190382
AVTR,2190520
AVDR,902286
AVDR,903840
AVY,465430
AVY,874227
AVNT,1948004
AVA,2190380
AVA,2190518
AVT,2190381
AVT,2190519
AVP,419989
AVP,874226
AXGN,913411
AXGN,913831
AAXN,890880
AAXN,891348
AX,913021
AX,913830
AXSM,902404
AXSM,903842
BGS,2190384
BGS,2190522
BABA-RM,2139232
BANE,972
BANEG,1028
BANEP,973
BANEPG,1027
3988,911202
BAS,948287
BBT,465426
BBT,874249
BCHUSD,491809
XS1210016249,435310
XS1762858428,492067
XS1783223206,492733
XS1949598855,910790
XS1764143597,492535
XS1571345583,476200
XS1799164790,493978
XS1953826978,581334
XS1963835902,874779
XS1590566193,476201
XS1801889830,495614
XS1985081444,883594
XS1819608172,495473
XS1998798984,910791
XS1637911451,484394
XS1962541709,874667
XS1327117633,476146
XS1833629253,496261
XS1654237129,485548
XS1859436070,497031
XS1269959034,436571
XS1870376461,497608
XS1822383094,498458
XS1434175730,456555
XS1873963794,497607
XS1820831607,495498
XS1900962892,501247
XS2053914953,910020
XS1892856128,910803
XS1327118284,476131
XS1725078163,490279
XS1903464391,501969
XS1654229290,485343
XS1807420937,494911
XS1878009866,498714
XS1838071964,496349
XS1857100413,497032
XS1952156344,910798
XS1917700723,502257
XS1946763361,879163
XS2019822357,898221
XS2027360507,899313
XS2045765729,906259
XS2065019957,911372
XS2066725107,912105
XS2139466846,1638970
XS2196311380,1948008
XS2139467901,1734794
XS2121431113,1743431
XS2154338623,1743432
XS2189377562,1896346
XS2189376911,1896345
XS2205545119,1969683
XS2215497830,2017464
XS2260424580,2180861
XS2110115487,928335
XS2116689972,929131
XS2128023012,932096
XS2152970393,1709388
XS2166995725,1802869
XS2152970476,1822273
XS1708325748,489371
XS1904686661,501248
XS1923604984,502516
XS1708322133,491525
XS1713519012,490094
XS1713519368,493490
XS1675776014,487508
XS1731601867,491240
XS1927711454,549065
XS1718466250,490149
XS1327117633.EU,451614
